Month,Cycle,Borough,Block ,Lot,Tax Class Code,Building Class,Community Board,Council District,House Number,Street Name,Zip Code,Water Debt Only
Apr-19,90 Day Notice,1,16,3,4,Z9,101,1,401,SOUTH END AVENUE,10280,NO
Apr-19,90 Day Notice,1,17,1213,4,RB,101,,50,WEST STREET,10006,NO
Apr-19,90 Day Notice,1,17,1215,4,RB,101,,50,WEST STREET,10006,NO
Apr-19,90 Day Notice,1,18,1073,2,R4,101,1,88,GREENWICH STREET,10006,NO
Apr-19,90 Day Notice,1,18,1270,2,R4,101,1,88,GREENWICH STREET,10006,NO
Apr-19,90 Day Notice,1,26,1260,2,R4,101,1,15,BROAD STREET,10005,NO
Apr-19,90 Day Notice,1,26,1273,2,R4,101,1,15,BROAD STREET,10005,NO
Apr-19,90 Day Notice,1,27,1032,2,R4,101,1,55,WALL STREET,10005,NO
Apr-19,90 Day Notice,1,27,1040,2,R4,101,1,55,WALL STREET,10005,NO
Apr-19,90 Day Notice,1,29,23,4,K4,101,1,79,PEARL STREET,10004,NO
Apr-19,90 Day Notice,1,31,1068,2,R4,101,1,75,WALL STREET,10005,NO
Apr-19,90 Day Notice,1,39,1037,2,R4,101,1,164,PEARL STREET,10005,NO
Apr-19,90 Day Notice,1,44,1265,2,R4,101,1,18,PINE STREET,10005,NO
Apr-19,90 Day Notice,1,44,1326,2,R4,101,1,18,PINE STREET,10005,NO
Apr-19,90 Day Notice,1,53,1145,4,RT,101,1,120,GREENWICH STREET,10006,NO
Apr-19,90 Day Notice,1,53,1153,4,RT,101,1,120,GREENWICH STREET,10006,NO
Apr-19,90 Day Notice,1,53,1210,2,R4,101,1,123,WASHINGTON STREET,10006,NO
Apr-19,90 Day Notice,1,53,1294,2,R4,101,1,123,WASHINGTON STREET,10006,NO
Apr-19,90 Day Notice,1,53,1337,2,R4,101,1,123,WASHINGTON STREET,10006,NO
Apr-19,90 Day Notice,1,53,1338,2,R4,101,1,123,WASHINGTON STREET,10006,NO
Apr-19,90 Day Notice,1,54,1,4,O2,101,1,130,GREENWICH STREET,10006,YES
Apr-19,90 Day Notice,1,58,1,4,O4,101,1,185,GREENWICH STREET,10007,NO
Apr-19,90 Day Notice,1,68,1148,2,R4,101,1,80,JOHN STREET,10038,NO
Apr-19,90 Day Notice,1,74,1,4,K9,101,1,89,SOUTH STREET,10038,YES
Apr-19,90 Day Notice,1,75,1013,2,R1,101,1,28,CLIFF STREET,10038,NO
Apr-19,90 Day Notice,1,76,1136,2,R4,101,1,99,JOHN STREET,10038,NO
Apr-19,90 Day Notice,1,76,1286,2,R4,101,1,99,JOHN STREET,10038,NO
Apr-19,90 Day Notice,1,76,1399,2,R4,101,1,99,JOHN STREET,10038,NO
Apr-19,90 Day Notice,1,78,47,2,D6,101,1,114,FULTON STREET,10038,YES
Apr-19,90 Day Notice,1,78,7507,2,R0,101,1,111,WILLIAM STREET,10038,YES
Apr-19,90 Day Notice,1,91,1001,2,R1,101,1,42,ANN STREET,10038,NO
Apr-19,90 Day Notice,1,92,3,2,D5,101,1,167,WILLIAM STREET,10038,YES
Apr-19,90 Day Notice,1,100,1026,2,R4,101,1,150,NASSAU STREET,10038,NO
Apr-19,90 Day Notice,1,100,1203,4,RB,101,1,8,SPRUCE STREET,10038,NO
Apr-19,90 Day Notice,1,106,1119,2,R4,101,1,324,PEARL STREET,10038,NO
Apr-19,90 Day Notice,1,106,1301,4,RK,101,1,264,WATER STREET,10038,NO
Apr-19,90 Day Notice,1,107,1,4,L9,101,1,160,SOUTH STREET,10038,NO
Apr-19,90 Day Notice,1,107,26,4,L9,101,1,259,FRONT STREET,10038,NO
Apr-19,90 Day Notice,1,107,51,4,K4,101,1,279,WATER STREET,10038,NO
Apr-19,90 Day Notice,1,132,7506,2,R0,101,1,77,WARREN STREET,10007,YES
Apr-19,90 Day Notice,1,134,1422,2,R4,101,1,25,MURRAY STREET,10007,NO
Apr-19,90 Day Notice,1,135,1101,2,R8,101,1,18,WARREN STREET,10007,NO
Apr-19,90 Day Notice,1,140,1122,2,R4,101,1,311,GREENWICH STREET,10013,NO
Apr-19,90 Day Notice,1,141,8,2,S3,101,1,146,READE STREET,10013,NO
Apr-19,90 Day Notice,1,142,1704,2,R4,101,1,101,WARREN STREET,10007,NO
Apr-19,90 Day Notice,1,145,18,4,L8,101,1,105,READE STREET,10013,NO
Apr-19,90 Day Notice,1,150,1201,2,R8,101,1,106,DUANE STREET,10007,NO
Apr-19,90 Day Notice,1,153,18,4,O3,101,1,49,CHAMBERS STREET,10007,YES
Apr-19,90 Day Notice,1,162,47,4,K4,103,1,10,DOYERS STREET,10013,NO
Apr-19,90 Day Notice,1,163,35,4,K4,103,1,26,BOWERY,10013,NO
Apr-19,90 Day Notice,1,164,45,2,C7,103,1,21,MOTT STREET,10013,NO
Apr-19,90 Day Notice,1,164,46,2,C7,103,1,19,MOTT STREET,10013,NO
Apr-19,90 Day Notice,1,171,7,2,D7,101,1,360,BROADWAY,10013,YES
Apr-19,90 Day Notice,1,171,1101,4,RK,101,1,354,BROADWAY,10013,NO
Apr-19,90 Day Notice,1,173,2,4,O5,101,1,83,WORTH STREET,10013,NO
Apr-19,90 Day Notice,1,173,1187,2,R4,101,1,93,WORTH STREET,10013,NO
